naamAlgoritme,dubbelIngeroosterd,tussentijdsloten,ongebruikteZaalsloten,avond,overvol,aantalLussen,totaal,duurGenerenSeconden
deterministisch,1228,45405,23,85,29,1,46770,0.0028
deterministischV2,652,27429,62,85,0,1,28228,0.003
deterministischV2,652,27429,62,85,0,1,28228,0.0031
hillclimber,652,27429,62,85,0,15,28228,0.009377718
hillclimber,652,27429,62,85,0,15,28228,0.075654745
hillclimber,652,27429,62,85,0,200,28228,0.867806196
hillclimber,652,27429,62,85,0,2000,28228,8.415838957
hillclimber,0,8850,62,75,0,200,8987,7.224937439
hillclimber,0,1714,62,65,0,20000,1841,863.6166692
hillclimber,0,2555,62,75,0,1392,2692,42.67342472
hillclimber,0,11978,62,65,0,132,12105,5.247981071
hillclimberShuffleVakkenZalen,0,33117,62,80,0,132,33259,4.543059349
hillclimberShuffleVakkenZalen,0,2234,62,55,0,3023,2351,140.4728148
hillclimberShuffleVakkenZalen,0,2266,62,50,0,5483,2378,257.9171135
simulatedAnnealing,0,2621,62,70,0,5483,2753,256.7618048
simulatedAnnealing,0,3352,62,70,0,1302,3484,56.02287126
simulatedAnnealing,0,2543,62,80,0,13002,2685,624.0204914
genetisch,1030,3150,62,50,0,130,4292,813.1997859
genetisch,937,3036,62,50,0,250,4085,1353.052672
genetisch,1261,2985,62,85,0,500,4393,2912.055326
simulatedAnnealing,0,4565,62,125,0,500,4752,17.29106641
simulatedAnnealing,0,3268,62,75,0,1740,3405,67.62754965
hillclimber,0,2466,62,55,0,1740,2583,64.82175803
hillclimber,0,2144,62,65,0,4500,2271,190.3762612
hillclimber,0,2139,62,35,0,15200,2236,734.1927664
hillclimber,0,1659,62,60,0,100000,1781,4371.574368
genetisch,813,4522,62,80,0,10,5477,61.87954617
genetisch,1766,1972,62,50,0,1500,3850,8890.924431
simulatedAnnealing,0,22673,62,80,0,12,22815,0.557726383
simulatedAnnealing,0,24636,62,85,0,12,24783,0.639855862
voorStudentwissels,0,0,0,0,0,0,62,0
hillclimber,0,6374,62,55,0,500,6491,15.12829614
hillclimber,571,1959,62,75,0,5000,2667,180.9427407
hillclimber,680,1143,62,70,0,15000,1955,596.2028551
hillclimber,0,17635,62,75,0,150,17772,3.750048876
genetisch,1003,5630,62,60,0,100,6755,731.0473545
hillclimber,705,1196,62,70,0,55000,2033,2703.313703
simulatedAnnealing,450,2552,62,110,0,800,3174,32.15912461
simulatedAnnealing,873,2161,62,70,0,2500,3166,120.0023699
hillclimber,734,811,62,75,0,300000,1682,11661.91791
hillclimber,548,1312,62,75,0,3000,2072,117.6958025
hillclimber,192,2066,62,65,0,3000,2450,119.1062815
hillclimber,0,5315,62,80,0,300,5537,9.272864103
gebruik62legeTijdsloten,0,0,0,0,0,0,62,0
hillclimber,151,694,134,35,0,300,1049,9.876227379
hillclimber,21,168,134,35,0,30000,393,716.4925361
simulatedAnnealing,293,364,134,35,0,300,861,12.08669662
simulatedAnnealing,51,508,134,35,0,1300,763,45.73217869
hillclimber,23,335,134,35,0,1300,562,38.19594574
genetisch,197,293,134,5,0,1300,634,3782.378698
